area_type,location,Society,size,Baths,total_sqft,price,availability,,
Super Built-up Area,Bibwewadi,Park Landmark,3 bhk,3,1349,145.00,Ready to move,,
Super Built-up Area,Bibwewadi,Padmavati,2 bhk,2,747,72.40,Under construction,,
Super Built-up Area,Bibwewadi,soba savera,3 bhk,3,1344,145.00,Ready to move,,
Super Built-up Area,Bibwewadi,Lake Town,3 bhk,3,1300,110.00,Ready to move,,
Super Built-up Area,Bibwewadi,Mahesh Society,2 bhk,2,920,80.00,Ready to move,,
Super Built-up Area,Bibwewadi,,3 bhk,2,900,120.00,Ready to move,,
Built-up Area,Bibwewadi,,2 bhk,2,900,95.00,Ready to move,,
Super Built-up Area,Bibwewadi,Sahakar nagar,4 bhk,4,1600,200.00,Ready to move,,
Super Built-up Area,Bibwewadi,Om abhishek,1 bhk,1,560,48.00,Ready to move,,
Super Built-up Area,Bibwewadi,Surana Rajyog,2 bhk,2,900,86.00,Ready to move,,
Built-up Area,Bibwewadi,Shrirang,2 bhk,2,817,56.00,Ready to move,,
Built-up Area,Bibwewadi,Park Landmark,3 bhk,3,1825,167.00,Ready to move,,
Super Built-up Area,Bibwewadi,Sahakar nagar,2 bhk,2,790,150.00,Ready to move,,
Built-up Area,Bibwewadi,Om abhishek,1 bhk,1,600,60.00,Ready to move,,
Built-up Area,Bibwewadi,,4 bhk,4,2200,249.00,Ready to move,,
Built-up Area,Bibwewadi,,1 bhk,1,380,20.00,Ready to move,,
Built-up Area,Bibwewadi,,3 bhk,3,1440,229.00,Ready to move,,
Super Built-up Area,Bibwewadi,Sai shilp,3 bhk,3,1107,135.00,Ready to move,,
Built-up Area,Bibwewadi,Peace,1 bhk,1,500,35.30,Ready to move,,
Built-up Area,Bibwewadi,Lake Town,3 bhk,4,1450,115.00,Ready to move,,
Super Built-up Area,Bibwewadi,Mahesh Society,3 bhk,3,1591,245.00,Ready to move,,
Built-up Area,Bibwewadi,Mandke,3 bhk,3,1200,117.00,Ready to move,,
Built-up Area,Bibwewadi,Majestic Towers,2 bhk,2,1050,85.00,Ready to move,,
Super Built-up Area,Bibwewadi,Mudra,4 bhk,4,1850,265.00,Ready to move,,
Built-up Area,Bibwewadi,Kumar Park,1 bhk,1,560,45.00,Ready to move,,
Super Built-up Area,Dhankawadi,Purvankara,2 bhk,2,1180,90.00,Ready to move,,
Built-up Area,Dhankawadi,Raut Baug,2 bhk,2,800,65.00,Ready to move,,
Built-up Area,Dhankawadi,,2 bhk,2,753,73.00,Under construction,,
Super Built-up Area,Dhankawadi,Ganga Ishanya,3 bhk,3,1650,200.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ganga Ishanya,3 bhk,3,1042,112.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ganga Ishanya,2 bhk,2,837,128.00,Ready to move,,
Super Built-up Area,Dhankawadi,Villa,4 bhk,5,2650,265.00,Ready to move,,
Built-up Area,Dhankawadi,,1 bhk,1,630,30.00,Ready to move,,
Built-up Area,Dhankawadi,,1 bhk,1,350,19.00,Ready to move,,
Super Built-up Area,Dhankawadi,Kohinoor,2 bhk,2,763,73.20,Under construction,,
Super Built-up Area,Dhankawadi,Villa,3 bhk,3,1500,130.00,Ready to move,,
Built-up Area,Dhankawadi,,1 bhk,1,470,28.00,Ready to move,,
Built-up Area,Dhankawadi,Hatti chowk,2 bhk,2,660,39.00,Ready to move,,
Built-up Area,Dhankawadi,Tanaji,1 bhk,1,325,19.00,Ready to move,,
Super Built-up Area,Dhankawadi,,6 bhk,6,4000,500.00,Ready to move,,
Built-up Area,Dhankawadi,kala nagar,8 bhk,7,3300,225.00,Ready to move,,
Built-up Area,Dhankawadi,Raut Baug,1 bhk,1,560,37.00,Ready to move,,
Super Built-up Area,Dhankawadi,Pride ,3 bhk,3,1170,155.00,Ready to move,,
Built-up Area,Dhankawadi,SRK Spring,2 bhk,2,800,70.00,Ready to move,,
Built-up  Area,Bibwewadi,,4 bhk,4,1600,80.00,Ready to move,,
Super built-up  Area,Bibwewadi,,5 bhk,5,1700,200.00,Ready to move,,
Super built-up  Area,Katraj,,2 bhk,2,1056,39.07,19-Dec,,
Plot  Area,Sinhgad Road,,4 bhk,5,2600,120.00,Ready To Move,,
Built-up  Area,Dhankawadi,,3 bhk,2,1440,62.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1521,95.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1200,51.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,2 bhk,2,1170,38.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,4 bhk,4,2732,204.00,18-May,,
Super built-up  Area,Koregaon Park,,4 bhk,4,3300,600.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1310,63.25,Ready To Move,,
Plot  Area,Dhankawadi,,6 bhk,6,1020,370.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,3 bhk,2,1800,70.00,18-Feb,,
Plot  Area,Sinhgad Road,,4 bhk,5,2785,295.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1000,38.00,Ready To Move,,
Built-up  Area,Bibwewadi,,2 bhk,2,1100,40.00,Ready To Move,,
Plot  Area,Dhankawadi,,3 bhk,3,2250,148.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1175,73.50,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1180,48.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,3,1540,60.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,4,2770,290.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1100,48.00,Ready To Move,,
Built-up  Area,Dhankawadi,,1 bhk,1,600,15.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1755,122.00,19-Dec,,
Plot  Area,Dhankawadi,,4 bhk,5,2800,380.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1767,103.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,1 RK,1,510,25.25,18-Nov,,
Super built-up  Area,Bibwewadi,,3 bhk,3,1250,56.00,18-May,,
Super built-up  Area,Bibwewadi,,2 bhk,1,660,23.10,Ready To Move,,
Built-up  Area,Sinhgad Road,,3 bhk,3,1610,81.00,20-Dec,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1151,48.77,17-Oct,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1025,47.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,4 bhk,4,2100 - 2850,186.00,19-Dec,,
Super built-up  Area,Dhankawadi,,3 bhk,2,1075,35.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,2,1760,123.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,3,1693,57.39,Ready To Move,,
Built-up  Area,Dhankawadi,,3 bhk,3,1925,125.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,700,36.00,21-Dec,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1070,45.50,Ready To Move,,
Super built-up  Area,Kundalahalli,,3 bhk,3,1724,125.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,2,1290,56.12,Ready To Move,,
Built-up  Area,Dhankawadi,,2 bhk,2,1143,45.00,Ready To Move,,
Built-up  Area,Katraj,,2 bhk,2,1296,81.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1254,38.00,19-Dec,,
Super built-up  Area,Katraj,,1 bhk,1,600,38.00,Ready To Move,,
Plot  Area,Bibwewadi,,1 bhk,1,660,48.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1330.74,91.79,19-Sep,,
Plot  Area,Katraj,,8 bhk,9,600,200.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,970,33.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,2 bhk,2,1459,94.82,20-Sep,,
Plot  Area,Sinhgad Road,,2 bhk,1,800,130.00,Ready To Move,,
Built-up  Area,Sinhgad Road,,2 bhk,2,869,36.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1270,50.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1670,99.00,18-Mar,,
Built-up  Area,Sinhgad Road,,3 bhk,3,2010,91.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1185,75.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1600,75.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1200,44.00,Ready To Move,,
Built-up  Area,Katraj,,4 bhk,,3010 - 3410,192.00,20-Feb,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1500,185.00,Ready To Move,,
Plot  Area,Katraj,,6 bhk,4,1407,150.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,840,45.00,Ready To Move,,
Plot  Area,Katraj,,3 bhk,3,4395,240.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,845,55.00,Ready To Move,,
Plot  Area,Sinhgad Road,,4 bhk,5,5700,650.00,Ready To Move,,
Built-up  Area,Hadapsar,,2 bhk,2,1160,44.00,Ready To Move,,
Built-up  Area,Dhankawadi,,8 bhk,8,3000,140.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1100,62.00,Ready To Move,,
Super built-up  Area,Hadapsar,,2 bhk,2,1140,43.00,18-Apr,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1220,57.00,Ready To Move,,
Plot  Area,Dhankawadi,,8 bhk,7,1350,85.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1005,36.68,Ready To Move,,
Plot  Area,Koregaon Park,,3 bhk,3,500,100.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1358,80.58,20-Aug,,
Super built-up  Area,Koregaon Park,,3 bhk,3,1569,101.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1240,70.00,18-Apr,,
Super built-up  Area,Koregaon Park,,3 bhk,3,2089,140.00,Ready To Move,,
Super built-up  Area,Hadapsar,,2 bhk,2,1206,48.23,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1150,40.00,Ready To Move,,
Built-up  Area,Koregaon Park,,3 bhk,3,2511,205.00,Ready To Move,,
Built-up  Area,Katraj,,2 bhk,1,460,22.00,Ready To Move,,
Built-up  Area,Koregaon Park,,6 bhk,6,4400,250.00,Ready To Move,,
Super built-up  Area,Hadapsar,,3 bhk,2,1660,105.00,Ready To Move,,
Built-up  Area,Bibwewadi,,4 bhk,,2957 - 3450,224.50,18-Oct,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1326,78.00,19-Mar,,
Super built-up  Area,Koregaon Park,,3 bhk,2,1325,60.80,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,5,1499,102.00,Ready To Move,,
Built-up  Area,Hadapsar,,6 bhk,7,3000,210.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1665,88.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,708,37.00,17-Sep,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1060,58.06,Ready To Move,,
Plot  Area,Koregaon Park,,6 bhk,6,710,160.00,Ready To Move,,
Built-up  Area,Dhankawadi,,2 bhk,2,1000,70.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1000,28.88,18-Dec,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1450,70.00,Ready To Move,,
Plot  Area,Koregaon Park,,4 bhk,4,1200,155.00,Ready To Move,,
Super built-up  Area,Hadapsar,,2 bhk,2,1296,80.00,17-Aug,,
Super built-up  Area,Sinhgad Road,,3 bhk,3,1540,90.00,Ready To Move,,
Plot  Area,Sinhgad Road,,4 bhk,4,2894,245.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,2,1330,48.00,Ready To Move,,
Built-up  Area,Bibwewadi,,2 bhk,2,1200,65.00,Ready To Move,,
Built-up  Area,Dhankawadi,,3 bhk,3,1200,90.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,2502,138.00,Ready To Move,,
Built-up  Area,Koregaon Park,,2 bhk,1,650,17.00,Ready To Move,,
Plot  Area,Koregaon Park,,3 bhk,2,2400,150.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1007,43.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1200,50.00,Ready To Move,,
Super built-up  Area,Hadapsar,,2 bhk,2,966,49.90,Ready To Move,,
Built-up  Area,Karve Nagar,,3 bhk,2,1630,98.00,Ready To Move,,
Built-up  Area,Koregaon Park,,3 bhk,3,1640,229.00,Ready To Move,,
Built-up  Area,Koregaon Park,,2 bhk,2,782,55.68,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1260,66.78,19-Apr,,
Super built-up  Area,Karve Nagar,,3 bhk,3,1800,120.00,Ready To Move,,
Super built-up  Area,Karve Nagar,,3 bhk,2,1413,75.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,2 bhk,2,1116,51.91,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1530,45.90,Ready To Move,,
Built-up  Area,Katraj,,4 bhk,4,3700,225.00,Ready To Move,,
Built-up  Area,Katraj,,3 bhk,3,2497,140.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,3 bhk,2,1540,64.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1436,74.75,18-Dec,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1100,75.00,18-Jun,,
Plot  Area,Karve Nagar,,2 bhk,3,276,23.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,3 bhk,3,1427,120.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,3 bhk,3,2061,200.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,4 bhk,4,3067 - 8156,477.00,18-Mar,,
Built-up  Area,Bibwewadi,,4 bhk,4,2650,150.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,2,1282,68.52,22-Dec,,
Built-up  Area,Katraj,,2 bhk,2,1050,34.00,Ready To Move,,
Built-up  Area,Koregaon Park,,3 bhk,3,1600,65.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,945,54.00,22-Jan,,
Super built-up  Area,Karve Nagar,,2 bhk,2,1500,78.00,Ready To Move,,
Plot  Area,Dhankawadi,,7 bhk,7,950,115.00,Ready To Move,,
Built-up  Area,Bibwewadi,,3 bhk,3,1870,110.00,Ready To Move,,
Plot  Area,Sinhgad Road,,3 bhk,3,1600,75.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,1,880,16.50,Ready To Move,,
Plot  Area,Sinhgad Road,,4 bhk,4,1200,210.00,Ready To Move,,
Super built-up  Area,Karve Nagar,,3 bhk,3,1535,83.00,Ready To Move,,
Built-up  Area,Katraj,,2 bhk,2,950,57.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1360,65.00,18-Aug,,
Super built-up  Area,Karve Nagar,,2 bhk,2,1042 - 1105,54.01,19-Mar,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1280,50.40,18-May,,
Super built-up  Area,Karve Nagar,,3 bhk,2,1260,85.05,19-Jan,,
Built-up  Area,Dhankawadi,,8 bhk,8,5000,250.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,5 bhk,5,3050,213.00,19-Dec,,
Super built-up  Area,Katraj,,3 bhk,3,1563.05,105.00,Ready To Move,,
Super built-up  Area,Karve Nagar,,2 bhk,2,1000,60.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1167,43.76,17-Jul,,
Super built-up  Area,Sinhgad Road,,7 bhk,7,4000,225.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,3 bhk,3,1828,110.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,890,35.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1612,46.74,Ready To Move,,
Plot  Area,Dhankawadi,,6 bhk,5,1034,185.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,3 bhk,4,1710,91.31,19-Apr,,
Super built-up  Area,Katraj,,2 bhk,2,957,58.00,Ready To Move,,
Super built-up  Area,Hadapsar,,3 bhk,2,1250,44.00,18-May,,
Super built-up  Area,Hadapsar,,3 bhk,4,2795,235.00,Ready To Move,,
Super built-up  Area,Hadapsar,,2 bhk,2,1125,50.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1020,30.60,18-Jul,,
Super built-up  Area,Hadapsar,,2 bhk,2,1200,50.00,Ready To Move,,
Super built-up  Area,Hadapsar,,3 bhk,3,1735,135.00,Ready To Move,,
Super built-up  Area,Karve Nagar,,3 bhk,3,2050,145.00,Ready To Move,,
Plot  Area,Hadapsar,,4 bhk,4,3750,760.00,Ready To Move,,
Built-up  Area,Hadapsar,,3 bhk,2,1350,48.00,Ready To Move,,
Super built-up  Area,Hadapsar,,2 bhk,2,1063,32.00,18-May,,
Super built-up  Area,Hadapsar,,3 bhk,3,1904,150.00,Ready To Move,,
Built-up  Area,Sinhgad Road,,4 bhk,4,4200,420.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,3 bhk,3,2000,175.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1145 - 1340,43.49,18-Dec,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1425,75.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1500,64.50,Ready To Move,,
Built-up  Area,Bibwewadi,,2 bhk,2,1060,60.00,Ready To Move,,
Built-up  Area,Bibwewadi,,3 bhk,2,1470,70.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,6 bhk,6,1300,99.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,1 bhk,1,450,11.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1152,64.50,18-Apr,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1350,56.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,3,1550,65.00,Ready To Move,,
Plot  Area,Bibwewadi,,3 bhk,3,1500,100.00,Ready To Move,,
Plot  Area,Bibwewadi,,5 bhk,3,600,85.00,Ready To Move,,
Plot  Area,Dhankawadi,,1 bhk,1,400,14.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,1 bhk,1,705,67.00,Ready To Move,,
Built-up  Area,Bibwewadi,,2 bhk,1,770,36.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1242,51.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,3,1700,155.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,3 bhk,3,2144,145.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,3 bhk,3,1704,110.00,21-Jun,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1070,52.00,Ready To Move,,
Plot  Area,Koregaon Park,,3 bhk,3,1846,300.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1340,55.70,Ready To Move,,
Built-up  Area,Bibwewadi,,2 bhk,2,1025,46.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,2 bhk,2,1015 - 1540,56.80,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1200,52.00,Ready To Move,,
Built-up  Area,Katraj,,4 bhk,4,2250,110.00,18-Dec,,
Super built-up  Area,Katraj,,3 bhk,2,1550,80.00,Ready To Move,,
Plot  Area,Bibwewadi,,4 bhk,5,1200,325.00,Ready To Move,,
Plot  Area,Katraj,,7 bhk,7,1800,250.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1200,60.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1327,98.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1186,58.00,Ready To Move,,
Built-up  Area,Katraj,,3 bhk,3,1783,115.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1400,56.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,980,48.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1285,82.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,2,912,70.00,Ready To Move,,
Built-up  Area,Sinhgad Road,,2 bhk,2,1225,47.60,Ready To Move,,
Super built-up  Area,Sinhgad Road,,2 bhk,2,1075,53.00,Ready To Move,,
Built-up  Area,Katraj,,3 bhk,2,1260,54.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1282,48.70,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1909,88.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1359,87.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,3,1763,262.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,1,900,25.00,17-Sep,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1305,60.00,Ready To Move,,
Built-up  Area,Karve Nagar,,3 bhk,2,1200,100.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,1 bhk,1,763 - 805,35.29,Ready To Move,,
Plot  Area,Dhankawadi,,,,5000,400.00,Immediate Possession,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1150,36.80,Ready To Move,,
Built-up  Area,Karve Nagar,,3 bhk,3,1806,85.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1027,42.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1002,40.08,19-Jul,,
Super built-up  Area,Koregaon Park,,3 bhk,2,1220,36.21,18-Apr,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1109,35.22,Ready To Move,,
Built-up  Area,Koregaon Park,,2 bhk,2,1002,40.08,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1308,89.04,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1232,69.60,19-Mar,,
Super built-up  Area,Karve Nagar,,2 bhk,2,1027,44.00,18-Apr,,
Built-up  Area,Katraj,,2 bhk,2,1250,65.00,Ready To Move,,
Plot  Area,Koregaon Park,,6 bhk,6,900,170.00,Ready To Move,,
Plot  Area,Bibwewadi,,4 bhk,4,960,80.00,Ready To Move,,
Built-up  Area,Bibwewadi,,3 bhk,3,1991,104.00,18-Dec,,
Super built-up  Area,Bibwewadi,,3 bhk,3,1779,90.00,Ready To Move,,
Plot  Area,Bibwewadi,,4 bhk,4,10200,1250.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,870,38.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1595,120.00,18-May,,
Super built-up  Area,Koregaon Park,,1 bhk,1,525,26.00,21-Dec,,
Plot  Area,Karve Nagar,,4 bhk,5,945,120.00,Ready To Move,,
Plot  Area,Karve Nagar,,6 bhk,4,2400,420.00,18-Apr,,
Super built-up  Area,Dhankawadi,,3 bhk,4,2000,138.00,18-Dec,,
Super built-up  Area,Katraj,,3 bhk,3,1614,93.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1200,40.00,Ready To Move,,
Built-up  Area,Katraj,,3 bhk,3,1150,46.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,4 bhk,4,3200,440.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1610,80.48,18-Dec,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1190,41.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1050,50.00,Ready To Move,,
Plot  Area,Koregaon Park,,4 bhk,5,4800,420.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,3 bhk,2,1460,97.00,Ready To Move,,
Super built-up  Area,Hadapsar,,3 bhk,3,3400,400.00,Ready To Move,,
Plot  Area,Dhankawadi,,1 bhk,1,600,33.00,Ready To Move,,
Built-up  Area,Bibwewadi,,3 bhk,3,1569,70.00,Ready To Move,,
Built-up  Area,Dhankawadi,,3 bhk,2,2700,260.00,Ready To Move,,
Built-up  Area,Bibwewadi,,4 bhk,3,1900,97.00,Ready To Move,,
Plot  Area,Katraj,,3 bhk,2,1350,175.00,Ready To Move,,
Super built-up  Area,Karve Nagar,,3 bhk,2,1520,96.00,18-Aug,,
Plot  Area,Dhankawadi,,4 bhk,4,2100,100.00,Ready To Move,,
Super built-up  Area,Sinhgad Road,,2 bhk,2,1175,50.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1432,68.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1005,39.77,18-Jun,,
Super built-up  Area,Dhankawadi,,2 bhk,2,1309,80.00,Ready To Move,,
Super built-up  Area,Dhankawadi,,3 bhk,4,2251,370.00,Ready To Move,,
Super built-up  Area,Koregaon Park,,2 bhk,2,1050,77.00,Ready To Move,,
Super built-up  Area,Katraj,,3 bhk,3,1100,53.00,21-Dec,,
Plot  Area,Hadapsar,,3 bhk,3,2400,310.00,Ready To Move,,
Super built-up  Area,Hadapsar,,3 bhk,2,1565,56.34,Ready To Move,,
Built-up  Area,Hadapsar,,2 bhk,2,940,56.00,Ready To Move,,
Super built-up  Area,Katraj,,2 bhk,2,1015,40.10,18-Jun,,
Plot  Area,Hadapsar,,3 bhk,2,2400,360.00,Ready To Move,,
Super built-up  Area,Hadapsar,,3 bhk,3,1652,110.00,Ready To Move,,
Super built-up  Area,Karve Nagar,,2 bhk,2,1100,52.00,Ready To Move,,
Super built-up  Area,Hadapsar,,4 bhk,4,2340,145.00,Ready To Move,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1084,179.00,21-Jul,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1056,39.07,,,
Super built-up  Area,Ambegaon,,4 bhk,5,2600,120.00,,,
Super built-up  Area,Ambegaon,,3 bhk,2,1440,62.00,,,
Super built-up  Area,Amanora Town,,3 bhk,3,1521,95.00,,,
Super built-up  Area,Amanora Town,,2 bhk,2,1200,51.00,,,
Built-up  Area,Balaji Nagar,,2 bhk,2,1170,38.00,,,
Super built-up  Area,Baner,,4 bhk,4,2732,204.00,,,
Plot  Area,Baner,,4 bhk,4,3300,600.00,,,
Super built-up  Area,Baner,,3 bhk,3,1310,63.25,,,
Super built-up  Area,Baner,,6 bhk,6,1020,370.00,,,
Super built-up  Area,Bibwewadi,,3 bhk,2,1800,70.00,,,
Super built-up  Area,Bibwewadi,,4 bhk,5,2785,295.00,,,
Built-up  Area,Budhwar Peth,,2 bhk,2,1000,38.00,,,
Super built-up  Area,Bund Garden,,2 bhk,2,1100,40.00,,,
Super built-up  Area,Camp,,3 bhk,3,2250,148.00,,,
Super built-up  Area,Bibwewadi,,2 bhk,2,1175,73.50,,,
Super built-up  Area,Dhankawadi,,3 bhk,3,1180,48.00,,,
Super built-up  Area,Deccan Gymkhana,,3 bhk,3,1540,60.00,,,
Super built-up  Area,Bibwewadi,,3 bhk,4,2770,290.00,,,
Built-up  Area,Dhankawadi,,2 bhk,2,1100,48.00,,,
,Dhankawadi,,1 bhk,1,600,15.00,,,
,Bibwewadi,,3 bhk,3,1755,122.00,,,
,Karve Nagar,,4 bhk,5,2800,380.00,,,
,Katraj,,3 bhk,3,1767,103.00,,,
,FC Road,,1 RK,1,510,25.25,,,
,Katraj,,3 bhk,3,1250,56.00,,,
,FC Road,,2 bhk,1,660,23.10,,,
,Bibwewadi,,3 bhk,3,1610,81.00,,,
,Sinhgad Road,,2 bhk,2,1151,48.77,,,
,Swargate,,3 bhk,2,1025,47.00,,,
,Swargate,,4 bhk,4,2100 - 2850,186.00,,,
,Swargate,,3 bhk,2,1075,35.00,,,
