area_type,location,Society,size,Baths,total_sqft,price,availability,,
Built-up Area,Dhankawadi,Jairaj padmavati,2 bhk,2,1090,85.00,Ready to move,,
Super Built-up Area,Dhankawadi,Sharada,1 bhk,1,601,30.00,Ready to move,,
Built-up Area,Dhankawadi,Sai heights,1 RK,1,380,14.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ace ,1 bhk,1,930,80.00,Ready to move,,
Plot Area,Dhankawadi,Kale Vidyadhan,1 bhk,1,715,34.00,Ready to move,,
Carpet Area,Dhankawadi,Balaji Darshan,1 bhk,1,420,18.00,Ready to move,,
Built-up Area,Dhankawadi,balaji Nagar,4 bhk,4,2400,250.00,On Sale,,
Built-up Area,Dhankawadi,Chetan Park,1 bhk,1,494,27.00,Ready to move,,
Built-up Area,Dhankawadi,balaji Nagar,1 bhk,2,550,25.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ganesh Chaitanya,1 bhk,1,625,25.00,Ready to move,,
Super Built-up Area,Dhankawadi,Rajlaxmi apt,1 bhk,2,860,35.00,Ready to move,,
Plot Area,Dhankawadi,Sai palace,1 bhk,1,600,24.00,Ready to move,,
Super Built-up Area,Dhankawadi,Fossil Fiesta,2 bhk,2,1250,105.00,Under construction,,
Super Built-up Area,Koregaon Park,Florida estate,4 bhk,5,9440,800.00,Ready to move,,
Super Built-up Area,Koregaon Park,Satellite,3 bhk,3,1270,133.00,Under construction,,
Super Built-up Area,Koregaon Park,Kolte Patil,4 bhk,4,2600,285.00,Under construction,,
Super Built-up Area,Meera nagar,Marvel exotica,3 bhk,3,1610,190.00,Ready to move,,
Super Built-up Area,Dhankawadi,Ganga Ishanya,3 bhk,3,2269,184.00,Under construction,,
Built-up Area,Meera nagar,Clover dale,3 bhk,3,1300,151.00,Under construction,,
Super Built-up Area,Koregaon Park,Marvel Aurum,4 bhk,5,5500,800.00,Ready to move,,
Super Built-up Area,Koregaon Park,Darode jog,3 bhk,3,2000,250.00,Under construction,,
Super Built-up Area,Koregaon Park,Sellandd,3 bhk,3,2300,275.00,Under construction,,
Super Built-up Area,Koregaon Park,Swan lake,2 bhk,2,1185,110.00,Ready to move,,
Super Built-up Area,Koregaon Park,Clover Acropolis,2 bhk,2,1450,160.00,Ready to move,,
Super Built-up Area,Koregaon Park,Suyojana,10 bhk,10,10000,1800.00,Ready to move,,
Super Built-up Area,Koregaon Park,Sukhwani Park,2 bhk,2,850,73.00,Ready to move,,
Super Built-up Area,Koregaon Park,Tulip,3 bhk,2,1180,95.00,Ready to move,,
Plot Area,Koregaon Park,Rakshalekha,1 bhk,1,400,40.00,Ready to move,,
Plot Area,Hadapsar,Amanora Aspire,6 bhk,7,5500,600.00,Ready to move,,
Plot Area,Manjri,,7 bhk,7,1100,110.00,Under construction,,
Built-up Area,Vitthal nagar,,5 bhk,3,1000,110.00,Ready to move,,
Built-up Area,Hadapsar,,5 bhk,3,1079,61.00,Ready to move,,
Super Built-up Area,Hadapsar,,5 bhk,5,1000,72.00,Under construction,,
Built-up Area,Hadapsar,Kumar picasso,5 bhk,5,3000,360.00,Under construction,,
Plot Area,Hadapsar,Ganraj colony,5 bhk,6,1500,450.00,Ready to move,,
Super Built-up Area,Hadapsar,St Patricks town,6 bhk,4,6280,400.00,Ready to move,,
Built-up Area,Hadapsar,,5 bhk,3,1000,70.00,Ready to move,,
Super Built-up Area,Amanora town,Gateway Towers,2 bhk,2,1054,156.00,Ready to move,,
Built-up Area,Kondhwa,Kohinoor Reina,2 bhk,2,715,69.50,Under construction,,
Super Built-up Area,Shivaji Nagar,Eastwoods,1 bhk,1,504,61.50,Under construction,,
Super Built-up Area,Dhankawadi,Nyati,3 bhk,3,1180,124.00,Under construction,,
Super Built-up Area,Bavdhan,Kolte Patil,4 bhk,4,1743.75,180.00,Under construction,,
Super Built-up Area,Sus,Sukhwani Park,2 bhk,2,661,46.70,Under construction,,
Built-up Area,Dhankawadi,Chaitanya Nagar,1 bhk,1,305,18.00,Ready to move,,
Built-up Area,Amanora town,Gateway Towers,3 bhk,3,1431.6,204.00,Ready to move,,
Built-up Area,Hadapsar,Belleza,2 bhk,2,757,68.60,Under construction,,
Built-up Area,Hadapsar,Leisure Town,1 bhk,1,460,42.00,Under construction,,
Built-up Area,Hadapsar,Greenaria,2 bhk,2,680,60.00,Under construction,,
Super Built-up Area,Shivaji Nagar,Eastwoods,2 bhk,2,835,94.60,Under construction,,
Built-up Area,Sinhgad Road,Venkatesh,2 bhk,2,926,128.00,Under construction,, 
Built-up Area,Sinhgad Road,Niman,3 bhk,3,914,76.50,Under construction,,
Super Built-up Area,Sinhgad Road,,2 bhk,2,700,105.00,Ready to move,,
Built-up Area,Sinhgad Road,,2 bhk,2,822,58.00,Ready to move,,
Super Built-up Area,Sinhgad Road,Monte Rosa,2 bhk,2,253,116.00,Under construction,,
Plot Area,Katraj,Khulshi,,,,12.00,,,
Built-up Area,Katraj,Lake Town,2 bhk,2,1060,95.00,Ready to move,,
Built-up Area,Katraj,Shivanjali,1 bhk,1,506,25.00,Ready to move,,
Super Built-up Area,Bibwewadi,Mudra,4 bhk,4,2000,425.00,Under construction,,
,Ambegaon,Nirman,1 bhk,1,500,36.60,Under construction,,
,Ambegaon,Nirman,2 bhk,2,750,50.60,Under construction,,
Super Built-up Area,Bibwewadi,Park Landmark ,2 bhk,2,820,112.00,Under construction,,
Built-up Area,Sinhgad Road,Paranjape,2 bhk,2,820,64.00,Ready to move,,
Super Built-up Area,Sinhgad Road,,1 bhk,1,720,60.50,Ready to move,,
Super Built-up Area,Sinhgad Road,Nanded city,2 bhk,2,700,53.00,Under construction,,
Built-up Area,Sinhgad Road,Unique Legacy,2 bhk,2,733,57.60,Under construction,,
Super Built-up Area,Sinhgad Road,Sarita Vaibhav,2 bhk,2,800,110.00,Ready to move,,
Built-up Area,Sinhgad Road,Sun Universe,2 bhk,2,900,82.00,Ready to move,,
Super Built-up Area,Sinhgad Road,,3 bhk,4,3065,260.00,Ready to move,,
Built-up Area,Sinhgad Road,Ajanta,1 bhk,1,470,29.00,Ready to move,,
Built-up Area,Sinhgad Road,,2 bhk,2,718,50.00,Ready to move,,
Built-up Area,Sinhgad Road,Rajyog Township,2 bhk,2,700,49.00,Ready to move,,
Built-up Area,Sinhgad Road,Crossover,3 bhk,3,900,67.00,Ready to move,,
Built-up Area,Sinhgad Road,Balark,2 bhk,2,750,68.00,Ready to move,,
Villa,Sinhgad Road,,3 bhk,4,2308,175.00,Ready to move,,
Built-up Area,Sinhgad Road,Cottage Close,2 bhk,2,810,70.00,Ready to move,,
Super Built-up Area,Sinhgad Road,Ecstasy,3 bhk,3,1106,73.00,Ready to Move,,
Built-up Area,Sinhgad Road,,1 bhk,1,455,16.00,Ready to Move,,
Built-up Area,Sinhgad Road,,3 bhk,3,810,75.00,Ready to Move,,
Built-up Area,Sinhgad Road,Homdale,1 bhk,1,450,26.60,Under construction,,
Super Built-up Area,Koregaon Park,Park Annexe,2 bhk,2,1000,105.00,Under construction,,
Super Built-up Area,Bavdhan,Kolte Patil,4 bhk,4,1175-1748,106.00,Under construction,,
Built-up Area,Wakad,Kasturi,4 bhk,4,1309-1431,250.00,Under construction,,
Built-up Area,Bibwewadi,Aditya Chintamani,2 bhk,2,905,80.00,Ready to Move,,
Super Built-up Area,Bibwewadi,State Bank nagar,2 bhk,2,750,105.00,Ready to Move,,
